Path,C:\Users\ChimieENS\Documents\Layla\Data\250715_Exp004-B,,,,,,
Pattern,ExpName_Substrate_Day_0,,,,,,
ExpName,Exp004-B,,,,,,
,,,,,,,
Substrates,Days,Design,Dimension,Angle,Aquisition order,Microscope,Magnification
CondA,D0,H2M200,1944x2592,34,bottom,Leica,x5
CondA,D1,H2M200,1944x2592,34,bottom,Leica,x5
CondA,D4,H2M200,1944x2592,34,bottom,Leica,x5
CondA,D5,H2M200,1944x2592,0,bottom,Leica,x5
CondA,D6,H2M200,1944x2592,0,bottom,Leica,x5
CondA,D7_afterMG,H2M200,1944x2592,0,bottom,Leica,x5
CondA,D8,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D0,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D1,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D4,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D5,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D6,H2M200,1944x2592,0,bottom,Leica,x5
CondB,D8,H2M200,1944x2592,0,bottom,Leica,x5
CondC,D0,H2M200,1944x2592,10,bottom,Leica,x5
CondC,D1,H2M200,1944x2592,10,bottom,Leica,x5
CondC,D4,H2M200,1944x2592,10,bottom,Leica,x5
CondC,D5,H2M200,1944x2592,0,bottom,Leica,x5
CondC,D6,H2M200,1944x2592,0,bottom,Leica,x5
CondC,D8,H2M200,1944x2592,0,bottom,Leica,x5
CondD,D0,H2M200,1944x2592,20,bottom,Leica,x5
CondD,D1,H2M200,1944x2592,20,bottom,Leica,x5
CondD,D4,H2M200,1944x2592,20,bottom,Leica,x5
CondD,D5,H2M200,1944x2592,0,bottom,Leica,x5
CondD,D6,H2M200,1944x2592,0,bottom,Leica,x5
CondD,D8,H2M200,1944x2592,0,bottom,Leica,x5
