Path,C:\Users\ChimieENS\Documents\Layla\Data\251117_Exp004-E,,,,,,,,,,,
Pattern,ExpName_Day_Well_,,,,,,,,,,,
ExpName,Exp004-E,,,,,,,,,,,
,,,,,,,,,,,,
Substrates,Days,Design,Dimension,Angle,Aquisition order,Microscope,Magnification,,,,,
,D1,Plate,2048x2048,,bottom,Zeiss-Incubator,x10,,,,,
,D2,Plate,2048x2049,,bottom,Zeiss-Incubator,x10,,,,,
,D2-confocal,Plate,1024x1024,,bottom,Zeiss-Confocal,x10,,,,,
,D4,Plate,2048x2051,,bottom,Zeiss-Incubator,x10,,,,,
,D7,Plate,2048x2052,,bottom,Zeiss-Incubator,x10,,,,,
,D10,Plate,2048x2053,,bottom,Zeiss-Incubator,x10,,,,,
,D14-confocal,Plate,1024x1024,,bottom,Zeiss-Confocal,x10,,,,,
,,,,,,,,,,,,
Plate Scheme,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,,E-+MG,E-+MG,E-+MG,E--MG,E--MG,E--MG,,DAPI-10 alive,DAPI-10 alive,DAPI-10 alive,
B,,NI-,NI-,NI-,NI+,NI+,NI+,,DAPI-25 alive,DAPI-25 alive,DAPI-25 alive,
C,,D-+CHIR-,D-+CHIR-,D-+CHIR-,D-+CHIR+,D-+CHIR+,D-+CHIR+,,DAPI-50 alive,DAPI-50 alive,DAPI-50 alive,
D,,SeqShort ---+,SeqShort ---+,SeqShort ---+,SeqShort ---+,SeqShort ---+,SeqShort ---+,,DAPI-10 dead,DAPI-10 dead,DAPI-10 dead,
E,,SeqLong ---+,SeqLong ---+,SeqLong ---+,SeqLong ---+,SeqLong ---+,SeqLong ---+,,DAPI-25 dead,DAPI-25 dead,DAPI-25 dead,
F,,,,,,,,,DAPI-50 dead,DAPI-50 dead,DAPI-50 dead,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
