Path,C:\Users\ChimieENS\Documents\Layla\Data\250813_Exp005-B,,,,,,
Pattern,ExpName_Day_Substrate_0,,,,,,
ExpName,Exp005,,,,,,
,,,,,,,
Substrates,Days,Design,Dimension,Angle,Aquisition order,Microscope,Magnification
H2M100-long,D0,H2M100,1944x2592,5,bottom,Leica,x5
H2M100-long,D1,H2M100,1944x2592,5,bottom,Leica,x5
H2M100-long,D5,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-long,D6,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D7,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D8,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D9,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D10,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D11,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D12,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D14,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D19,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D22,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-long,D23,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D0,H2M100,1944x2592,-8,bottom,Leica,x5
H2M100-short,D1,H2M100,1944x2592,-8,bottom,Leica,x5
H2M100-short,D5,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D6,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D7,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D8,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D9,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D10,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D11,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D12,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D14,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D19,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D22,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D23,H2M100,1944x2592,0,bottom-flip,Leica,x5
H2M100-short,D25,H2M100,2048x2048,0,bottom-flip,Zeiss-Incubator,x5
H2M150-long,D0,H2M150,1944x2592,7,bottom,Leica,x5
H2M150-long,D1,H2M150,1944x2592,7,bottom,Leica,x5
H2M150-long,D5,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D6,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D7,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D8,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D9,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D10,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D11,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D12,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D14,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D19,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D22,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-long,D23,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D0,H2M150,1944x2592,5,bottom,Leica,x5
H2M150-short,D1,H2M150,1944x2592,5,bottom,Leica,x5
H2M150-short,D5,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-short,D6,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D7,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D8,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D9,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D10,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D11,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D12,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D14,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D19,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D22,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M150-short,D23,H2M150,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D0-3h,H2M200,1944x2592,35,bottom,Leica,x5
H2M200-short-sedi,D1,H2M200,1944x2592,35,bottom,Leica,x5
H2M200-short-sedi,D5,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D6,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D7,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D8,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D9,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D10,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D11,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D12,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D14,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D19,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D22,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-sedi,D23,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D0,H2M200,1944x2592,15,bottom,Leica,x5
H2M200-short-centri,D1,H2M200,1944x2592,15,bottom,Leica,x5
H2M200-short-centri,D5,H2M200,1944x2592,0,bottom,Leica,x5
H2M200-short-centri,D6,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D7,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D8,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D9,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D10,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D11,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D12,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D14,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D19,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D22,H2M200,1944x2592,0,bottom-flip,Leica,x5
H2M200-short-centri,D23,H2M200,1944x2592,0,bottom-flip,Leica,x5
