Path,C:\Users\ChimieENS\Documents\Layla\Data\250828-Exp006-B,,,,,,
Pattern,ExpName_Day_Substrate_0,,,,,,
ExpName,Exp006-B,,,,,,
,,,,,,,
Substrates,Days,Design,Dimension,Angle,Aquisition order,Microscope,Magnification
H2M100-ShortFlip,D0,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D1,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D4,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D5,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D6,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D7,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D8,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D11,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D13,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D15,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D18,H2M100,1944x2592,0,bottom,Leica,x5
H2M100-ShortFlip,D20,H2M100,1944x2592,0,bottom,Leica,x5
H2M150-Flip,D0,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-Flip,D1,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D0,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D1,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D4,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D5,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D6,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D7,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D8,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D11,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D13,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D15,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D18,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-NoFlip,D20,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D0,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D1,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D0,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D1,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D4,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D5,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D6,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D7,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D8,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D11,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D13,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D15,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D18,H2M150,1944x2592,0,bottom,Leica,x5
H2M150-ShortFlip,D20,H2M150,1944x2592,0,bottom,Leica,x5
